Wyniki eksperymentu.

wzrosty liniowe

Shell Sort dla danych: Losowe
n	Sredni Czas [s]	Odchylenie Std.
4000    0.00157274      0.00471822
5000    0.00156853      0.00470559
6000    0.00156890      0.00470670
7000    0.00161328      0.00483984
8000    0.00000000      0.00000000
9000    0.00315191      0.00630387
10000   0.00319193      0.00638409

Merge Sort dla: Malejace
n       Sredni Czas [s] Odchylenie
1000    0.00159094      0.00477282
2000    0.00000000      0.00000000
3000    0.00000000      0.00000000
4000    0.00157451      0.00472353
5000    0.00161359      0.00484077
6000    0.00316549      0.00633118
7000    0.00160175      0.00480525
8000    0.00481194      0.00735042
9000    0.00319424      0.00638853
10000   0.00156572      0.00469716

Merge Sort dla: A-ksztaltne
n       Sredni Czas [s] Odchylenie
1000    0.00000000      0.00000000
2000    0.00000000      0.00000000
3000    0.00000000      0.00000000
4000    0.00156547      0.00469641
5000    0.00159279      0.00477837
6000    0.00156458      0.00469374
7000    0.00158733      0.00476199
8000    0.00000000      0.00000000
9000    0.00319808      0.00639624
10000   0.00000000      0.00000000

Merge Sort dla: V-ksztaltne
n       Sredni Czas [s] Odchylenie
1000    0.00000000      0.00000000
2000    0.00000000      0.00000000
3000    0.00000000      0.00000000
4000    0.00161056      0.00483168
5000    0.00160954      0.00482862
6000    0.00120895      0.00362685
7000    0.00160708      0.00482124
8000    0.00473458      0.00723250
9000    0.00159932      0.00479796
10000   0.00000000      0.00000000

Quick Sort Rekurencyjny dla: Losowe
n       Sredni Czas [s] Odchylenie
1000    0.00000000      0.00000000
2000    0.00000000      0.00000000
3000    0.00000000      0.00000000
4000    0.00157675      0.00473025
5000    0.00000000      0.00000000
6000    0.00179002      0.00467937
7000    0.00000000      0.00000000
8000    0.00000000      0.00000000
9000    0.00156512      0.00469536
10000   0.00161227      0.00483681

Quick Sort Rekurencyjny dla: Rosnace
n       Sredni Czas [s] Odchylenie
1000    0.00159422      0.00478266
2000    0.00317830      0.00635700
3000    0.01103797      0.00722655
4000    0.01749099      0.00471862
5000    0.02681717      0.00721433
6000    0.03949197      0.00798190
7000    0.05060353      0.00625223
8000    0.06616578      0.00630052
9000    0.08355782      0.00715776
10000   0.10099266      0.00762892

Quick Sort Rekurencyjny dla: Malejace
n       Sredni Czas [s] Odchylenie
1000    0.00000000      0.00000000
2000    0.00317085      0.00634209
3000    0.00953489      0.00778629
4000    0.01738868      0.00469333
5000    0.02525329      0.00776379
6000    0.03950774      0.00699587
7000    0.05081624      0.00635717
8000    0.06939142      0.00709556
9000    0.08694960      0.00755771
10000   0.10731682      0.00635188

Quick Sort Rekurencyjny dla: A-ksztaltne
n       Sredni Czas [s] Odchylenie
1000    0.00000000      0.00000000
2000    0.00156527      0.00469581
3000    0.00000000      0.00000000
4000    0.00000000      0.00000000
5000    0.00000000      0.00000000
6000    0.00159816      0.00479448
7000    0.00161165      0.00483495
8000    0.00000000      0.00000000
9000    0.00000000      0.00000000
10000   0.00160036      0.00480108

Quick Sort Rekurencyjny dla: V-ksztaltne
n       Sredni Czas [s] Odchylenie
1000    0.00000000      0.00000000
2000    0.00000000      0.00000000
3000    0.00000000      0.00000000
4000    0.00157644      0.00472932
5000    0.00000000      0.00000000
6000    0.00000000      0.00000000
7000    0.00161482      0.00484446
8000    0.00000000      0.00000000
9000    0.00319549      0.00639136
10000   0.00158045      0.00474135

wzrost wykładniczy

Shell Sort dla danych: Losowe
n	Sredni Czas [s]	Odchylenie Std.
1000	0.00020076	0.00060228
2000	0.00070183	0.00110302
4000	0.00140060	0.00420180
8000	0.00478972	0.00731645
16000	0.00788610	0.00788629
32000	0.01745259	0.00492872
64000	0.04151335	0.00734400

Shell Sort dla danych: Rosnace
n	Sredni Czas [s]	Odchylenie Std.
1000	0.00020074	0.00060222
2000	0.00072796	0.00218388
4000	0.00040128	0.00080256
8000	0.00159185	0.00352830
16000	0.00000000	0.00000000
32000	0.00584250	0.00657942
64000	0.01466472	0.00190527

Shell Sort dla danych: Malejace
n	Sredni Czas [s]	Odchylenie Std.
1000	0.00043064	0.00129192
2000	0.00000000	0.00000000
4000	0.00019288	0.00057864
8000	0.00040103	0.00080206
16000	0.00000000	0.00000000
32000	0.00434702	0.00600011
64000	0.00940995	0.00598668

Shell Sort dla danych: A-ksztaltne
n	Sredni Czas [s]	Odchylenie Std.
1000	0.00000000	0.00000000
2000	0.00020064	0.00060192
4000	0.00077610	0.00095323
8000	0.00435733	0.00672245
16000	0.00278665	0.00287030
32000	0.00786495	0.00786513
64000	0.01323638	0.00555844

Shell Sort dla danych: V-ksztaltne
n	Sredni Czas [s]	Odchylenie Std.
1000	0.00000000	0.00000000
2000	0.00000000	0.00000000
4000	0.00000000	0.00000000
8000	0.00000000	0.00000000
16000	0.00321204	0.00642409
32000	0.00737836	0.00595947
64000	0.01243365	0.00645503

Heap Sort dla danych: Losowe
